Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Single-pass end-to-end neural decompilation using copying mechanism,Neural Computing and Applications,,,,10.1007/s00521-024-10735-9,Gergő SzalayMáté Bálint PoórBalázs PintérTibor Gregorics,2024,https://link.springer.com/article/10.1007/s00521-024-10735-9,Article
Attention-Based Decompilation Through Neural Machine Translation,Information Security and Cryptology,,,,10.1007/978-981-96-4731-6_16,Ruigang LiangYing CaoPeiwei HuKai Chen,2025,https://link.springer.com/chapter/10.1007/978-981-96-4731-6_16,Conference paper
ARMQwen2: Enhancing C Language Decompilation on ARM Platform Using Large Language Model,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9849-3_19,Jiahan LiuJian LinHaoran LiuYonghao WangJing Jing,2025,https://link.springer.com/chapter/10.1007/978-981-96-9849-3_19,Conference paper
Android decompiler performance on benign and malicious apps: an empirical study,Empirical Software Engineering,,,,10.1007/s10664-022-10281-9,Ulf KargénNoah MautheNahid Shahmehri,2023,https://link.springer.com/article/10.1007/s10664-022-10281-9,Article
Is This the&#xa0;Same Code? A Comprehensive Study of&#xa0;Decompilation Techniques for&#xa0;WebAssembly Binaries,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94448-2_6,Wei-Cheng WuYutian YanHallgrimur David EgilssonDavid ParkSteven ChanChristophe HauserWeihang Wang,2026,https://link.springer.com/chapter/10.1007/978-3-031-94448-2_6,Conference paper
Neural Decompiling of&#xa0;Tracr Transformers,Artificial Neural Networks in Pattern Recognition,,,,10.1007/978-3-031-71602-7_3,Hannes ThurnherrKaspar Riesen,2024,https://link.springer.com/chapter/10.1007/978-3-031-71602-7_3,Conference paper
Automatic Fixation of&#xa0;Decompilation Quirks Using Pre-trained Language Model,Product-Focused Software Process Improvement,,,,10.1007/978-3-031-49266-2_18,Ryunosuke KaichiShinsuke MatsumotoShinji Kusumoto,2024,https://link.springer.com/chapter/10.1007/978-3-031-49266-2_18,Conference paper
A Perfect Knife—Bulk Decompilation and Preprocessing Tool,AETA 2022—Recent Advances in Electrical Engineering and Related Sciences: Theory and Application,,,,10.1007/978-981-99-8703-0_13,Ladislav DorotikJan KinclMilan OulehlaRoman ŠenkeříkZuzana Komínková Oplatková,2024,https://link.springer.com/chapter/10.1007/978-981-99-8703-0_13,Conference paper
Quantifying and&#xa0;Mitigating the Impact of Obfuscations on Machine-Learning-Based Decompilation Improvement,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_14,Luke DramkoDeniz Bölöni-TurgutClaire Le GouesEdward Schwartz,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_14,Conference paper
Reverse Engineering and Cyber Security,Critical Infrastructure Protection: Advanced Technologies for Crisis Prevention and Response,,,,10.1007/978-94-024-2308-2_7,Sanja Maravić ČisarRobert PinterPetar ČisarLivia Szedmina,2025,https://link.springer.com/chapter/10.1007/978-94-024-2308-2_7,Conference paper
Analysis of Decompiled Program Code Using Abstract Syntax Trees,Automatic Control and Computer Sciences,,,,10.3103/S0146411623080060,N. A. GribkovT. D. OvasapyanD. A. Moskvin,2023,https://link.springer.com/article/10.3103/S0146411623080060,Article
Decompilation Based Deep Binary-Source Function Matching,Science of Cyber Security,,,,10.1007/978-3-031-45933-7_15,Xiaowei WangZimu YuanYang XiaoLiyan WangYican YaoHaiming ChenWei Huo,2023,https://link.springer.com/chapter/10.1007/978-3-031-45933-7_15,Conference paper
About Methods for Extracting Algorithms from Binary Code,Programming and Computer Software,,,,10.1134/S0361768825700288,I. I. KulaginV. A. PadaryanV. A. Koshkin,2025,https://link.springer.com/article/10.1134/S0361768825700288,Article
Neutron: an attention-based neural decompiler,Cybersecurity,,,,10.1186/s42400-021-00070-0,Ruigang LiangYing CaoPeiwei HuKai Chen,2021,https://link.springer.com/article/10.1186/s42400-021-00070-0,Article
