Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Extracting a Logic Gate Network from a Transistor-Level CMOS Circuit,Russian Microelectronics,,,,10.1134/S106373971903003X,D. I. CheremisinovL. D. Cheremisinova,2019,https://link.springer.com/article/10.1134/S106373971903003X,Article
The File MyMusic.class: On Decompiling Software,Cinderella's Stick,,,,10.1007/978-3-319-98488-9_10,Yannis TzitzikasYannis Marketakis,2018,https://link.springer.com/chapter/10.1007/978-3-319-98488-9_10,Chapter
Diagnostic Tools,Pro .NET Benchmarking,,,,10.1007/978-1-4842-4941-3_6,Andrey Akinshin,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4941-3_6,Chapter
A Survey of Software Reverse Engineering Applications,Artificial Intelligence and Security,,,,10.1007/978-3-030-24268-8_22,Zhuangyou ChenBing PanYanbin Sun,2019,https://link.springer.com/chapter/10.1007/978-3-030-24268-8_22,Conference paper
Automated Reconstruction of Control Logic for Programmable Logic Controller Forensics,Information Security,,,,10.1007/978-3-030-30215-3_20,Syed Ali QasimJuan LopezIrfan Ahmed,2019,https://link.springer.com/chapter/10.1007/978-3-030-30215-3_20,Conference paper
"Exploiting Mobile, Web, and Network for IoT",The IoT Hacker's Handbook,,,,10.1007/978-1-4842-4300-8_8,Aditya Gupta,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4300-8_8,Chapter
Analyzing Use of High Privileges on Android: An Empirical Case Study of Screenshot and Screen Recording Applications,Information Security and Cryptology,,,,10.1007/978-3-030-14234-6_19,Mark H. MengGuangdong BaiJoseph K. LiuXiapu LuoYu Wang,2019,https://link.springer.com/chapter/10.1007/978-3-030-14234-6_19,Conference paper
A comparison of code similarity analysers,Empirical Software Engineering,,,,10.1007/s10664-017-9564-7,Chaiyong RagkhitwetsagulJens KrinkeDavid Clark,2017,https://link.springer.com/article/10.1007/s10664-017-9564-7,Article
Experimental analysis of Android malware detection based on combinations of permissions and API-calls,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-019-00332-z,Abhishek Kumar SinghC. D. JaidharM. A. Ajay Kumara,2019,https://link.springer.com/article/10.1007/s11416-019-00332-z,Article
AppNet: A Large-Scale Multi-layer Heterogeneous Complex App Network for Intelligent Program Search,Service-Oriented Computing – ICSOC 2018 Workshops,,,,10.1007/978-3-030-17642-6_33,Jianmao XiaoShizhan ChenZhiyong FengJian Yang,2019,https://link.springer.com/chapter/10.1007/978-3-030-17642-6_33,Conference paper
ADS-SA: System for Automatically Detecting Sensitive Path of Android Applications Based on Static Analysis,Smart City and Informatization,,,,10.1007/978-981-15-1301-5_25,Hong SongDandan LinShuang ZhuWeiping WangShigeng Zhang,2019,https://link.springer.com/chapter/10.1007/978-981-15-1301-5_25,Conference paper
Android Malware Detection Based on Sensitive Permissions and APIs,Security and Privacy in New Computing Environments,,,,10.1007/978-3-030-21373-2_10,Chunhui ZhaoChundong WangWenbai Zheng,2019,https://link.springer.com/chapter/10.1007/978-3-030-21373-2_10,Conference paper
Malware Forensics,Practical Cyber Forensics,,,,10.1007/978-1-4842-4460-9_9,Niranjan Reddy,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4460-9_9,Chapter
Overshadow PLC to Detect Remote Control-Logic Injection Attacks,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-030-22038-9_6,Hyunguk YooSushma KalleJared SmithIrfan Ahmed,2019,https://link.springer.com/chapter/10.1007/978-3-030-22038-9_6,Conference paper
Empirical assessment of the effort needed to attack programs protected with client/server code splitting,Empirical Software Engineering,,,,10.1007/s10664-019-09738-1,Alessio ViticchiéLeonardo ReganoCataldo BasileMarco TorchianoMariano CeccatoPaolo Tonella,2019,https://link.springer.com/article/10.1007/s10664-019-09738-1,Article
Design and Implementation of Obfuscating Tool for Software Code Protection,Advances in Interdisciplinary Engineering,,,,10.1007/978-981-13-6577-5_64,Akshay KumarSeema Sharma,2019,https://link.springer.com/chapter/10.1007/978-981-13-6577-5_64,Conference paper
Empirical study of android repackaged applications,Empirical Software Engineering,,,,10.1007/s10664-019-09760-3,Kobra KhanmohammadiNeda EbrahimiAbdelwahab Hamou-LhadjRaphaël Khoury,2019,https://link.springer.com/article/10.1007/s10664-019-09760-3,Article
Integrated Multi-featured Android Malicious Code Detection,Data Science,,,,10.1007/978-981-15-0118-0_16,Qing YuHui Zhao,2019,https://link.springer.com/chapter/10.1007/978-981-15-0118-0_16,Conference paper
"Understanding the motivations, challenges and needs of Blockchain software developers: a survey",Empirical Software Engineering,,,,10.1007/s10664-019-09708-7,Amiangshu BosuAnindya IqbalRifat ShahriyarPartha Chakraborty,2019,https://link.springer.com/article/10.1007/s10664-019-09708-7,Article
If I Had a Million Cryptos: Cryptowallet Application Analysis and a Trojan Proof-of-Concept,Digital Forensics and Cyber Crime,,,,10.1007/978-3-030-05487-8_3,Trevor HaighFrank BreitingerIbrahim Baggili,2019,https://link.springer.com/chapter/10.1007/978-3-030-05487-8_3,Conference paper
Function matching between binary executables: efficient algorithms and features,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-019-00339-6,Chariton KaramitasAthanasios Kehagias,2019,https://link.springer.com/article/10.1007/s11416-019-00339-6,Article
DeepMal4J: Java Malware Detection Employing Deep Learning,Security in Computing and Communications,,,,10.1007/978-981-13-5826-5_30,Pallavi Kumari JhaPrem ShankarV. G. SujadeviP. Prabhaharan,2019,https://link.springer.com/chapter/10.1007/978-981-13-5826-5_30,Conference paper
Formal Small-Step Verification of a Call-by-Value Lambda Calculus Machine,Programming Languages and Systems,,,,10.1007/978-3-030-02768-1_15,Fabian KunzeGert SmolkaYannick Forster,2018,https://link.springer.com/chapter/10.1007/978-3-030-02768-1_15,Conference paper
BinEye: Towards Efficient Binary Authorship Characterization Using Deep&#xa0;Learning,Computer Security – ESORICS 2019,,,,10.1007/978-3-030-29962-0_3,Saed AlrabaeeElMouatez Billah KarbabLingyu WangMourad Debbabi,2019,https://link.springer.com/chapter/10.1007/978-3-030-29962-0_3,Conference paper
A Cyber-Kill-Chain based taxonomy of crypto-ransomware features,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-019-00338-7,Tooska DargahiAli DehghantanhaPooneh Nikkhah BahramiMauro ContiGiuseppe BianchiLoris Benedetto,2019,https://link.springer.com/article/10.1007/s11416-019-00338-7,Article
MALDC: a depth detection method for malware based on behavior chains,World Wide Web,,,,10.1007/s11280-019-00675-z,Hao ZhangWenjun ZhangZhihan LvArun Kumar SangaiahTao HuangNaveen Chilamkurti,2019,https://link.springer.com/article/10.1007/s11280-019-00675-z,Article
Method to Modify the Hex of Android Manifest File in Android Apps for Dynamic Analysis,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-10-7605-3_125,Suhyoo LeeJunhoo ParkJaecheol Ryou,2018,https://link.springer.com/chapter/10.1007/978-981-10-7605-3_125,Conference paper
Semantics-driven extraction of timed automata from Java programs,Empirical Software Engineering,,,,10.1007/s10664-019-09699-5,Giovanni LivaMuhammad Taimoor KhanMartin Pinzger,2019,https://link.springer.com/article/10.1007/s10664-019-09699-5,Article
Classes and Fields,Scala for Java Developers,,,,10.1007/978-1-4842-3108-1_8,Toby Weston,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3108-1_8,Chapter
A new technique for intent elicitation in Android applications,Iran Journal of Computer Science,,,,10.1007/s42044-019-00032-3,Mohamed A. El-Zawawy,2019,https://link.springer.com/article/10.1007/s42044-019-00032-3,Article
Study for the Identification of Dominant Frequencies and Sensitive Structure on Machine Tools Using Modal Decoupling and Structural Sensitivity Analysis,Journal of Vibration Engineering & Technologies,,,,10.1007/s42417-019-00172-7,Ling YinQuanxin LiuFei ZhangZirong ZhouSaif Ullah,2019,https://link.springer.com/article/10.1007/s42417-019-00172-7,Article
Crowdsourcing for click fraud detection,EURASIP Journal on Information Security,,,,10.1186/s13635-019-0095-1,Riwa MouawiImad H. ElhajjAli ChehabAyman Kayssi,2019,https://link.springer.com/article/10.1186/s13635-019-0095-1,Article
Physical model of sensitive data leakage from PC-based cryptographic systems,Journal of Cryptographic Engineering,,,,10.1007/s13389-019-00215-5,Alla LevinaRoman MostovoiDaria SleptsovaLavrentii Tcvetkov,2019,https://link.springer.com/article/10.1007/s13389-019-00215-5,Article
Reading and Understanding Code,Raspberry Pi Assembly Language Programming,,,,10.1007/978-1-4842-5287-1_14,Stephen Smith,2019,https://link.springer.com/chapter/10.1007/978-1-4842-5287-1_14,Chapter
Android Malware Detection Mechanism Based on Bayesian Model Averaging,Recent Findings in Intelligent Computing Techniques,,,,10.1007/978-981-10-8639-7_9,S. RoopakTony ThomasSabu Emmanuel,2019,https://link.springer.com/chapter/10.1007/978-981-10-8639-7_9,Conference paper
