Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Forward Symbolic Execution for&#xa0;Trustworthy Automation of&#xa0;Binary Code Verification,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-032-15700-3_8,Andreas LindnerKarl PalmskogScott ConstableMads DamRoberto GuancialeHamed Nemati,2026,https://link.springer.com/chapter/10.1007/978-3-032-15700-3_8,Conference paper
Automatic Software Vulnerability Detection in&#xa0;Binary Code,Machine Learning for Cyber Security,,,,10.1007/978-981-96-4566-4_11,Shigang LiuLin LiXinbo BanChao ChenJun ZhangSeyit CamtepeYang Xiang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4566-4_11,Conference paper
LEARNT: A Neural Machine Translation Framework for Accurate Binary Lifting to High-Level Representation,Advances in Intelligent Networking and Collaborative Systems,,,,10.1007/978-3-031-72322-3_4,Duulga BaasantogtokhYoseob YoonMunkhdelgerekh BatzorigMahdi SahlabadiKangbin Yim,2024,https://link.springer.com/chapter/10.1007/978-3-031-72322-3_4,Conference paper
Cross Architecture Function Similarity Detection with&#xa0;Binary Lifting and&#xa0;Neural Metric Learning,"Advances in Natural Computation, Fuzzy Systems and Knowledge Discovery",,,,10.1007/978-3-031-20738-9_4,Zhenzhou TianChen LiSihao Qiu,2023,https://link.springer.com/chapter/10.1007/978-3-031-20738-9_4,Conference paper
A cross-language and cross-binary type approach to binary-source software composition analysis using BM25,International Journal of Information Security,,,,10.1007/s10207-025-01148-3,Jong-Wouk KimMi-Jung Choi,2025,https://link.springer.com/article/10.1007/s10207-025-01148-3,Article
CodeGrafter: Unifying Source and Binary Graphs for Robust Vulnerability Detection,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_6,Saquib IrtizaMahmoud ZamaniShamila WickramasuriyaKevin W. HamlenLatifur Khan,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_6,Conference paper
PrecIRisc: A High-Precision and Low-Bloat Dynamic Binary Instrumentation Tailored for RISC Architectures,Journal of Electronic Testing,,,,10.1007/s10836-025-06191-5,Wenbing XieRuixue GuanFanyue YuYiming Zhang,2025,https://link.springer.com/article/10.1007/s10836-025-06191-5,Article
Is This the&#xa0;Same Code? A Comprehensive Study of&#xa0;Decompilation Techniques for&#xa0;WebAssembly Binaries,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94448-2_6,Wei-Cheng WuYutian YanHallgrimur David EgilssonDavid ParkSteven ChanChristophe HauserWeihang Wang,2026,https://link.springer.com/chapter/10.1007/978-3-031-94448-2_6,Conference paper
AndroClonium: Bytecode-Level Code Clone Detection for&#xa0;Obfuscated Android Apps,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-031-06975-8_22,Ardalan ForoughipourNatalia StakhanovaFarzaneh AbazariBahman Sistany,2022,https://link.springer.com/chapter/10.1007/978-3-031-06975-8_22,Conference paper
JNFuzz-Droid: a lightweight fuzzing and taint analysis framework for native code of Android applications,Empirical Software Engineering,,,,10.1007/s10664-025-10671-9,Jianchao CaoFan GuoYanwen Qu,2025,https://link.springer.com/article/10.1007/s10664-025-10671-9,Article
SaBRe: load-time selective binary rewriting,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-021-00644-w,Paul-Antoine ArrasAnastasios AndronidisLuís PinaKarolis MituzasQianyi ShuDaniel GrumbergCristian Cadar,2022,https://link.springer.com/article/10.1007/s10009-021-00644-w,Article
Ali2Vul: Binary Vulnerability Dataset Expansion via&#xa0;Cross-Modal Alignment,Information Security,,,,10.1007/978-3-032-08124-7_27,Xinyu BaiYisen WangJiajun DuChen LiangSiyuan LiangZirui Jiang,2026,https://link.springer.com/chapter/10.1007/978-3-032-08124-7_27,Conference paper
